,Acronym,Snomed_CT,Diagnostic_Snomed_CT,Details,Superclass_ID,Superclass,Motivo,Fonte,CPSC,Chapman-Shaoxing-Ningbo,CPSC-Extra,PTB,PTBxl,G12EC
,VPVC,251182009,Paired ventricular premature complexes,Paired ventricular premature complexes (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,WAVN,195101003,Wandering atrial pacemaker,Wandering atrial pacemaker (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,0,0,0,1
,WPW,74390002,Wolff-Parkinson-White pattern,Wolff-Parkinson-White pattern (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,0,1,1,1
,TBS,74615001,Tachycardia-bradycardia,Tachycardia-bradycardia (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,VT,164895002,EKG: ventricular tachycardia,Electrocardiographic ventricular tachycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,1,0,1
,LMI,164871004,Lateral infarction on electrocardiogram,Lateral infarction on electrocardiogram (finding),MI,Myocardial Infarction,"O código SNOMED indica infarto/necrose miocárdica aguda, antiga ou regional; a agregação em MI segue a organização diagnóstica usada em ECG e em bases como PTB-XL.","AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,1,0,0
,LONEAF,233910005,Lone atrial fibrillation,Lone atrial fibrillation (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,1,0,0
,CHRPERI,78069008,Chronic rheumatic pericarditis,Chronic pericarditis due to rheumatic heart disease (disorder),OTHER_CARDIAC,Other Cardiac Disease,O código SNOMED representa condição cardíaca estrutural ou clínica não especificada primariamente como padrão eletrocardiográfico isolado; deve ser mantido como classe clínica separada para evitar mistura com layers morfológicas do ECG.,AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/,0,0,0,0,0,1
,ARTIFACT,251143007,ECG artifact,Electrocardiogram artifact (finding),TECH,Technical/Artifact,"O código SNOMED descreve artefato técnico ou posicionamento/reversão de eletrodos, não uma doença cardíaca primária; para ML, é uma camada de qualidade/técnica em vez de diagnóstico clínico.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/,0,0,0,0,0,1
,EALT,423863005,Electrical alternation of heart,Electrical alternation of heart (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,0,0,0,0,1
,MAT,713423005,EKG: multifocal atrial tachycardia,Electrocardiographic multifocal atrial tachycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,2AVB21,164903001,ECG: partial atrioventricular block - 2:1,Electrocardiogram: partial atrioventricular block - 2:1 (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,0,1
,TUW,251242005,Tall U wave,Tall U wave (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,0,1
,LVH,55827005,Left ventricular hypertrophy,Left ventricular hypertrophy (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,0,0,0,0
,RAE,67751000119106,Right atrial enlargement,Right atrial enlargement (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,0,0,0,0
,AVNRT,251166008,Atrioventricular nodal re-entry tachycardia (disorder),Atrioventricular nodal re-entry tachycardia (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,0,0,0,0
,AARR,17366009,Atrial arrhythmia,Atrial arrhythmia (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,0,0,0,0
,RWF,365413008,R wave - finding,Finding of electrocardiogram R wave (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,0
,TPW,251223006,Tall P wave,Tall P wave (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,0
,CLBBB,733534002,ECG complete left bundle branch block,Electrocardiographic complete left bundle branch block (finding),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,0,0,0,0
,CCWL,61721007,Counterclockwise vectorcardiographic loop,Counterclockwise vectorcardiographic loop (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,0
,PPW,251205003,Prolonged P wave,Prolonged P wave (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,0
